Time(s),Code,Description
 Opened: Both CSV files opened with headers written
0:01,STATUS-009,Startup Complete: All files ready for logging
0:01,STATUS-001,Session Started
0:01,STATUS-019,Menu Refreshed: displayMenu() called
0:01,STATUS-102,Raw Input Configured: tcsetattr() disabled ICANON and ECHO
0:01,STATUS-103,stdin Non-Blocking: fcntl() set O_NONBLOCK flag
0:00,STATUS-020,Operational Mode: User pressed '2'; polling loop ready
0:00,STATUS-019,Menu Refreshed: displayMenu() called
15:62,STATUS-011,Key Registered: W
16:37,STATUS-106,Thrusters Deactivated (Key Release): W
16:47,STATUS-011,Key Registered: W
17:22,STATUS-106,Thrusters Deactivated (Key Release): W
20:32,STATUS-011,Key Registered: W
22:18,STATUS-106,Thrusters Deactivated (Key Release): W
22:53,STATUS-011,Key Registered: W
24:18,STATUS-106,Thrusters Deactivated (Key Release): W
37:25,STATUS-011,Key Registered: W
37:100,STATUS-106,Thrusters Deactivated (Key Release): W
39:55,STATUS-011,Key Registered: W
40:30,STATUS-106,Thrusters Deactivated (Key Release): W
40:85,STATUS-011,Key Registered: W
43:25,STATUS-106,Thrusters Deactivated (Key Release): W
71:84,STATUS-011,Key Registered: W
75:09,STATUS-106,Thrusters Deactivated (Key Release): W
110:18,STATUS-011,Key Registered: W
112:28,STATUS-106,Thrusters Deactivated (Key Release): W
113:88,STATUS-011,Key Registered: S
115:64,STATUS-106,Thrusters Deactivated (Key Release): S
119:29,STATUS-011,Key Registered: A
121:34,STATUS-106,Thrusters Deactivated (Key Release): A
123:25,STATUS-011,Key Registered: D
124:70,STATUS-106,Thrusters Deactivated (Key Release): D
126:60,STATUS-011,Key Registered: E
128:05,STATUS-106,Thrusters Deactivated (Key Release): E
129:60,STATUS-011,Key Registered: Q
131:31,STATUS-106,Thrusters Deactivated (Key Release): Q
895:53,STATUS-011,Key Registered: U
896:28,STATUS-106,Thrusters Deactivated (Key Release): U
897:13,STATUS-011,Key Registered: U
897:88,STATUS-106,Thrusters Deactivated (Key Release): U
898:63,STATUS-011,Key Registered: U
899:39,STATUS-106,Thrusters Deactivated (Key Release): U
900:74,STATUS-011,Key Registered: W
902:34,STATUS-106,Thrusters Deactivated (Key Release): W
904:94,STATUS-011,Key Registered: E
905:69,STATUS-106,Thrusters Deactivated (Key Release): E
971:67,STATUS-011,Key Registered: J
972:42,STATUS-106,Thrusters Deactivated (Key Release): J
974:17,STATUS-011,Key Registered: J
974:93,STATUS-106,Thrusters Deactivated (Key Release): J
976:48,STATUS-011,Key Registered: U
977:23,STATUS-106,Thrusters Deactivated (Key Release): U
978:48,STATUS-011,Key Registered: U
979:23,STATUS-106,Thrusters Deactivated (Key Release): U
981:53,STATUS-011,Key Registered: J
982:29,STATUS-106,Thrusters Deactivated (Key Release): J
982:99,STATUS-011,Key Registered: L
983:74,STATUS-106,Thrusters Deactivated (Key Release): L
985:39,STATUS-011,Key Registered: Q
986:14,STATUS-106,Thrusters Deactivated (Key Release): Q
986:69,STATUS-011,Key Registered: Q
987:44,STATUS-106,Thrusters Deactivated (Key Release): Q
988:59,STATUS-011,Key Registered: Q
989:35,STATUS-106,Thrusters Deactivated (Key Release): Q
990:20,STATUS-011,Key Registered: Q
990:95,STATUS-106,Thrusters Deactivated (Key Release): Q
992:90,STATUS-011,Key Registered: Q
993:65,STATUS-106,Thrusters Deactivated (Key Release): Q
994:15,STATUS-011,Key Registered: J
994:90,STATUS-106,Thrusters Deactivated (Key Release): J
995:95,STATUS-011,Key Registered: J
996:71,STATUS-106,Thrusters Deactivated (Key Release): J
997:41,STATUS-011,Key Registered: J
998:16,STATUS-106,Thrusters Deactivated (Key Release): J
999:06,STATUS-011,Key Registered: L
999:81,STATUS-106,Thrusters Deactivated (Key Release): L
1000:41,STATUS-011,Key Registered: L
1001:16,STATUS-106,Thrusters Deactivated (Key Release): L
1001:66,STATUS-011,Key Registered: L
1002:41,STATUS-106,Thrusters Deactivated (Key Release): L
1002:81,STATUS-011,Key Registered: Q
1003:57,STATUS-106,Thrusters Deactivated (Key Release): Q
1003:92,STATUS-011,Key Registered: Q
1004:67,STATUS-106,Thrusters Deactivated (Key Release): Q
1004:87,STATUS-011,Key Registered: L
1005:62,STATUS-106,Thrusters Deactivated (Key Release): L
1006:02,STATUS-011,Key Registered: L
1006:77,STATUS-106,Thrusters Deactivated (Key Release): L
1007:57,STATUS-011,Key Registered: L
1008:32,STATUS-106,Thrusters Deactivated (Key Release): L
1008:67,STATUS-011,Key Registered: U
1009:42,STATUS-106,Thrusters Deactivated (Key Release): U
1009:82,STATUS-011,Key Registered: L
1010:58,STATUS-106,Thrusters Deactivated (Key Release): L
1011:13,STATUS-011,Key Registered: L
1011:88,STATUS-106,Thrusters Deactivated (Key Release): L
1012:13,STATUS-011,Key Registered: W
1012:88,STATUS-106,Thrusters Deactivated (Key Release): W
1013:23,STATUS-011,Key Registered: W
1013:98,STATUS-106,Thrusters Deactivated (Key Release): W
1014:43,STATUS-011,Key Registered: L
1015:18,STATUS-106,Thrusters Deactivated (Key Release): L
1015:48,STATUS-011,Key Registered: Q
1016:23,STATUS-106,Thrusters Deactivated (Key Release): Q
1017:24,STATUS-011,Key Registered: L
1017:99,STATUS-106,Thrusters Deactivated (Key Release): L
1026:85,STATUS-011,Key Registered: L
1027:60,STATUS-106,Thrusters Deactivated (Key Release): L
1098:83,STATUS-011,Key Registered: J
1099:58,STATUS-106,Thrusters Deactivated (Key Release): J
1099:93,STATUS-011,Key Registered: L
1100:68,STATUS-106,Thrusters Deactivated (Key Release): L
1101:08,STATUS-011,Key Registered: L
1101:83,STATUS-106,Thrusters Deactivated (Key Release): L
1102:49,STATUS-011,Key Registered: L
1103:89,STATUS-106,Thrusters Deactivated (Key Release): L
1104:74,STATUS-011,Key Registered: L
1105:49,STATUS-106,Thrusters Deactivated (Key Release): L
1106:64,STATUS-011,Key Registered: L
1107:39,STATUS-106,Thrusters Deactivated (Key Release): L
1107:79,STATUS-011,Key Registered: W
1108:54,STATUS-106,Thrusters Deactivated (Key Release): W
1110:10,STATUS-011,Key Registered: Q
1110:85,STATUS-106,Thrusters Deactivated (Key Release): Q
1112:60,STATUS-011,Key Registered: Q
1113:35,STATUS-106,Thrusters Deactivated (Key Release): Q
1115:10,STATUS-011,Key Registered: L
1115:85,STATUS-106,Thrusters Deactivated (Key Release): L
1116:15,STATUS-011,Key Registered: J
1116:91,STATUS-106,Thrusters Deactivated (Key Release): J
1117:31,STATUS-011,Key Registered: J
1118:06,STATUS-106,Thrusters Deactivated (Key Release): J
1120:51,STATUS-011,Key Registered: Q
1121:26,STATUS-106,Thrusters Deactivated (Key Release): Q
1130:72,STATUS-011,Key Registered: W
1131:48,STATUS-106,Thrusters Deactivated (Key Release): W
1131:98,STATUS-011,Key Registered: W
1132:73,STATUS-106,Thrusters Deactivated (Key Release): W
1134:78,STATUS-011,Key Registered: W
1135:53,STATUS-106,Thrusters Deactivated (Key Release): W
1136:33,STATUS-011,Key Registered: W
1137:08,STATUS-106,Thrusters Deactivated (Key Release): W
1138:84,STATUS-011,Key Registered: W
1139:59,STATUS-106,Thrusters Deactivated (Key Release): W
1140:04,STATUS-011,Key Registered: Q
1140:79,STATUS-106,Thrusters Deactivated (Key Release): Q
1141:29,STATUS-011,Key Registered: Q
1142:04,STATUS-106,Thrusters Deactivated (Key Release): Q
1142:74,STATUS-011,Key Registered: J
1143:49,STATUS-106,Thrusters Deactivated (Key Release): J
1144:04,STATUS-011,Key Registered: L
1144:79,STATUS-106,Thrusters Deactivated (Key Release): L
1145:70,STATUS-011,Key Registered: L
1146:45,STATUS-106,Thrusters Deactivated (Key Release): L
1153:80,STATUS-011,Key Registered: U
1154:56,STATUS-106,Thrusters Deactivated (Key Release): U
1155:21,STATUS-011,Key Registered: U
1155:96,STATUS-106,Thrusters Deactivated (Key Release): U
1161:11,STATUS-011,Key Registered: U
1162:52,STATUS-106,Thrusters Deactivated (Key Release): U
1163:12,STATUS-011,Key Registered: J
1163:87,STATUS-106,Thrusters Deactivated (Key Release): J
1164:27,STATUS-011,Key Registered: L
1165:02,STATUS-106,Thrusters Deactivated (Key Release): L
1165:57,STATUS-011,Key Registered: L
1166:32,STATUS-106,Thrusters Deactivated (Key Release): L
1182:69,STATUS-011,Key Registered: E
1183:44,STATUS-106,Thrusters Deactivated (Key Release): E
1183:84,STATUS-011,Key Registered: E
1184:59,STATUS-106,Thrusters Deactivated (Key Release): E
1185:64,STATUS-011,Key Registered: J
1186:40,STATUS-106,Thrusters Deactivated (Key Release): J
1187:05,STATUS-011,Key Registered: L
1187:80,STATUS-106,Thrusters Deactivated (Key Release): L
1188:45,STATUS-011,Key Registered: L
1189:20,STATUS-106,Thrusters Deactivated (Key Release): L
1189:70,STATUS-011,Key Registered: L
1190:45,STATUS-106,Thrusters Deactivated (Key Release): L
1190:95,STATUS-011,Key Registered: L
1191:70,STATUS-106,Thrusters Deactivated (Key Release): L
1193:36,STATUS-011,Key Registered: J
1194:11,STATUS-106,Thrusters Deactivated (Key Release): J
1194:56,STATUS-011,Key Registered: L
1195:31,STATUS-106,Thrusters Deactivated (Key Release): L
1195:66,STATUS-011,Key Registered: L
1196:41,STATUS-106,Thrusters Deactivated (Key Release): L
1196:76,STATUS-011,Key Registered: L
1197:51,STATUS-106,Thrusters Deactivated (Key Release): L
1198:06,STATUS-011,Key Registered: W
1198:81,STATUS-106,Thrusters Deactivated (Key Release): W
1199:16,STATUS-011,Key Registered: W
1199:92,STATUS-106,Thrusters Deactivated (Key Release): W
1200:57,STATUS-011,Key Registered: L
1201:32,STATUS-106,Thrusters Deactivated (Key Release): L
1201:67,STATUS-011,Key Registered: W
1202:42,STATUS-106,Thrusters Deactivated (Key Release): W
1202:87,STATUS-011,Key Registered: W
1205:52,STATUS-106,Thrusters Deactivated (Key Release): W
1205:97,STATUS-011,Key Registered: L
1206:72,STATUS-106,Thrusters Deactivated (Key Release): L
1207:28,STATUS-011,Key Registered: L
1208:03,STATUS-106,Thrusters Deactivated (Key Release): L
1208:58,STATUS-011,Key Registered: L
1210:03,STATUS-106,Thrusters Deactivated (Key Release): L
1210:88,STATUS-011,Key Registered: W
1213:98,STATUS-106,Thrusters Deactivated (Key Release): W
1214:79,STATUS-011,Key Registered: L
1215:54,STATUS-106,Thrusters Deactivated (Key Release): L
1216:69,STATUS-011,Key Registered: Q
1217:44,STATUS-106,Thrusters Deactivated (Key Release): Q
1217:89,STATUS-011,Key Registered: Q
1219:79,STATUS-106,Thrusters Deactivated (Key Release): Q
1220:39,STATUS-011,Key Registered: L
1221:14,STATUS-106,Thrusters Deactivated (Key Release): L
1221:80,STATUS-011,Key Registered: W
1222:55,STATUS-106,Thrusters Deactivated (Key Release): W
1222:80,STATUS-011,Key Registered: L
1223:55,STATUS-106,Thrusters Deactivated (Key Release): L
1223:90,STATUS-011,Key Registered: L
1224:65,STATUS-106,Thrusters Deactivated (Key Release): L
1225:15,STATUS-011,Key Registered: L
1225:90,STATUS-106,Thrusters Deactivated (Key Release): L
1227:00,STATUS-011,Key Registered: W
1227:75,STATUS-106,Thrusters Deactivated (Key Release): W
1228:05,STATUS-011,Key Registered: L
1228:81,STATUS-106,Thrusters Deactivated (Key Release): L
1241:32,STATUS-011,Key Registered: L
1242:07,STATUS-106,Thrusters Deactivated (Key Release): L
1243:12,STATUS-011,Key Registered: L
1243:87,STATUS-106,Thrusters Deactivated (Key Release): L
1245:73,STATUS-011,Key Registered: L
1246:48,STATUS-106,Thrusters Deactivated (Key Release): L
1247:28,STATUS-011,Key Registered: L
1248:03,STATUS-106,Thrusters Deactivated (Key Release): L
1249:78,STATUS-011,Key Registered: Q
1251:58,STATUS-106,Thrusters Deactivated (Key Release): Q
1252:03,STATUS-011,Key Registered: Q
1254:59,STATUS-106,Thrusters Deactivated (Key Release): Q
1255:14,STATUS-011,Key Registered: Q
1255:89,STATUS-106,Thrusters Deactivated (Key Release): Q
1256:59,STATUS-011,Key Registered: L
1257:34,STATUS-106,Thrusters Deactivated (Key Release): L
1257:79,STATUS-011,Key Registered: W
1258:54,STATUS-106,Thrusters Deactivated (Key Release): W
1259:14,STATUS-011,Key Registered: W
1260:85,STATUS-106,Thrusters Deactivated (Key Release): W
1261:25,STATUS-011,Key Registered: L
1261:100,STATUS-106,Thrusters Deactivated (Key Release): L
1262:40,STATUS-011,Key Registered: W
1264:15,STATUS-106,Thrusters Deactivated (Key Release): W
1264:55,STATUS-011,Key Registered: L
1266:50,STATUS-106,Thrusters Deactivated (Key Release): L
1267:16,STATUS-011,Key Registered: W
1269:81,STATUS-106,Thrusters Deactivated (Key Release): W
1270:21,STATUS-011,Key Registered: L
1276:27,STATUS-106,Thrusters Deactivated (Key Release): L
1276:72,STATUS-011,Key Registered: W
1277:47,STATUS-106,Thrusters Deactivated (Key Release): W
1277:92,STATUS-011,Key Registered: L
1279:52,STATUS-106,Thrusters Deactivated (Key Release): L
1279:92,STATUS-011,Key Registered: L
1280:67,STATUS-106,Thrusters Deactivated (Key Release): L
1281:22,STATUS-011,Key Registered: W
1282:68,STATUS-106,Thrusters Deactivated (Key Release): W
1283:18,STATUS-011,Key Registered: L
1284:63,STATUS-011,Key Registered: W
1285:38,STATUS-106,Thrusters Deactivated (Key Release): W
1285:88,STATUS-011,Key Registered: L
1286:63,STATUS-106,Thrusters Deactivated (Key Release): L
1677:59,STATUS-011,Key Registered: W
