Time(s),Type,Direction,Key
15:62,T,+X,W
16:37,N,--,-
16:47,T,+X,W
17:22,N,--,-
20:32,T,+X,W
22:18,N,--,-
22:53,T,+X,W
24:18,N,--,-
37:25,T,+X,W
37:100,N,--,-
39:55,T,+X,W
40:30,N,--,-
40:85,T,+X,W
43:25,N,--,-
71:84,T,+X,W
75:09,N,--,-
110:18,T,+X,W
112:28,N,--,-
113:88,T,-X,S
115:64,N,--,-
119:29,T,+Y,A
121:34,N,--,-
123:25,T,-Y,D
124:70,N,--,-
126:60,T,+Z,E
128:05,N,--,-
129:60,T,-Z,Q
131:31,N,--,-
895:53,R,-R,U
896:28,N,--,-
897:13,R,-R,U
897:88,N,--,-
898:63,R,-R,U
899:38,N,--,-
900:74,T,+X,W
902:34,N,--,-
904:94,T,+Z,E
905:69,N,--,-
971:67,R,-Y,J
972:42,N,--,-
974:17,R,-Y,J
974:93,N,--,-
976:48,R,-R,U
977:23,N,--,-
978:48,R,-R,U
979:23,N,--,-
981:53,R,-Y,J
982:28,N,--,-
982:99,R,+Y,L
983:74,N,--,-
985:39,T,-Z,Q
986:14,N,--,-
986:69,T,-Z,Q
987:44,N,--,-
988:59,T,-Z,Q
989:35,N,--,-
990:20,T,-Z,Q
990:95,N,--,-
992:90,T,-Z,Q
993:65,N,--,-
994:15,R,-Y,J
994:90,N,--,-
995:95,R,-Y,J
996:71,N,--,-
997:41,R,-Y,J
998:16,N,--,-
999:06,R,+Y,L
999:81,N,--,-
1000:41,R,+Y,L
1001:16,N,--,-
1001:66,R,+Y,L
1002:41,N,--,-
1002:81,T,-Z,Q
1003:57,N,--,-
1003:92,T,-Z,Q
1004:67,N,--,-
1004:87,R,+Y,L
1005:62,N,--,-
1006:02,R,+Y,L
1006:77,N,--,-
1007:57,R,+Y,L
1008:32,N,--,-
1008:67,R,-R,U
1009:42,N,--,-
1009:82,R,+Y,L
1010:58,N,--,-
1011:13,R,+Y,L
1011:88,N,--,-
1012:13,T,+X,W
1012:88,N,--,-
1013:23,T,+X,W
1013:98,N,--,-
1014:43,R,+Y,L
1015:18,N,--,-
1015:48,T,-Z,Q
1016:23,N,--,-
1017:24,R,+Y,L
1017:99,N,--,-
1026:85,R,+Y,L
1027:60,N,--,-
1098:83,R,-Y,J
1099:58,N,--,-
1099:93,R,+Y,L
1100:68,N,--,-
1101:08,R,+Y,L
1101:83,N,--,-
1102:49,R,+Y,L
1103:89,N,--,-
1104:74,R,+Y,L
1105:49,N,--,-
1106:64,R,+Y,L
1107:39,N,--,-
1107:79,T,+X,W
1108:54,N,--,-
1110:10,T,-Z,Q
1110:85,N,--,-
1112:60,T,-Z,Q
1113:35,N,--,-
1115:10,R,+Y,L
1115:85,N,--,-
1116:15,R,-Y,J
1116:91,N,--,-
1117:31,R,-Y,J
1118:06,N,--,-
1120:51,T,-Z,Q
1121:26,N,--,-
1130:72,T,+X,W
1131:48,N,--,-
1131:98,T,+X,W
1132:73,N,--,-
1134:78,T,+X,W
1135:53,N,--,-
1136:33,T,+X,W
1137:08,N,--,-
1138:84,T,+X,W
1139:59,N,--,-
1140:04,T,-Z,Q
1140:79,N,--,-
1141:29,T,-Z,Q
1142:04,N,--,-
1142:74,R,-Y,J
1143:49,N,--,-
1144:04,R,+Y,L
1144:79,N,--,-
1145:69,R,+Y,L
1146:45,N,--,-
1153:80,R,-R,U
1154:56,N,--,-
1155:21,R,-R,U
1155:96,N,--,-
1161:11,R,-R,U
1162:52,N,--,-
1163:12,R,-Y,J
1163:87,N,--,-
1164:27,R,+Y,L
1165:02,N,--,-
1165:57,R,+Y,L
1166:32,N,--,-
1182:69,T,+Z,E
1183:44,N,--,-
1183:84,T,+Z,E
1184:59,N,--,-
1185:64,R,-Y,J
1186:40,N,--,-
1187:05,R,+Y,L
1187:80,N,--,-
1188:45,R,+Y,L
1189:20,N,--,-
1189:70,R,+Y,L
1190:45,N,--,-
1190:95,R,+Y,L
1191:70,N,--,-
1193:36,R,-Y,J
1194:11,N,--,-
1194:56,R,+Y,L
1195:31,N,--,-
1195:66,R,+Y,L
1196:41,N,--,-
1196:76,R,+Y,L
1197:51,N,--,-
1198:06,T,+X,W
1198:81,N,--,-
1199:16,T,+X,W
1199:92,N,--,-
1200:57,R,+Y,L
1201:32,N,--,-
1201:67,T,+X,W
1202:42,N,--,-
1202:87,T,+X,W
1205:52,N,--,-
1205:97,R,+Y,L
1206:72,N,--,-
1207:28,R,+Y,L
1208:03,N,--,-
1208:58,R,+Y,L
1210:03,N,--,-
1210:88,T,+X,W
1213:98,N,--,-
1214:79,R,+Y,L
1215:54,N,--,-
1216:69,T,-Z,Q
1217:44,N,--,-
1217:89,T,-Z,Q
1219:79,N,--,-
