Time(s),Code,Description
0.00,STATUS-00,Startup Successful: Files Ready
0.00,STATUS-02,Session Started
0.00,STATUS-05,Mode Changed: Operational Mode
0.00,STATUS-03,Key Registered: Shift
0.10,STATUS-03,Key Registered: Shift
2.30,STATUS-03,Key Registered: S
2.40,STATUS-03,Key Registered: S
2.50,STATUS-03,Key Registered: S
2.60,STATUS-03,Key Registered: S
2.70,STATUS-03,Key Registered: S
2.80,STATUS-03,Key Registered: S
2.90,STATUS-03,Key Registered: S
3.00,STATUS-03,Key Registered: S
3.10,STATUS-03,Key Registered: S
3.20,STATUS-03,Key Registered: S
3.30,STATUS-03,Key Registered: S
3.40,STATUS-03,Key Registered: S
3.50,STATUS-03,Key Registered: S
3.60,STATUS-03,Key Registered: S
3.70,STATUS-03,Key Registered: S
3.80,STATUS-03,Key Registered: S
3.90,STATUS-03,Key Registered: S
4.00,STATUS-03,Key Registered: S
4.10,STATUS-03,Key Registered: S
4.20,STATUS-03,Key Registered: S
4.30,STATUS-03,Key Registered: S
4.40,STATUS-03,Key Registered: S
4.50,STATUS-03,Key Registered: S
4.60,STATUS-03,Key Registered: S
4.70,STATUS-03,Key Registered: S
4.80,STATUS-03,Key Registered: S
4.90,STATUS-03,Key Registered: S
5.00,STATUS-03,Key Registered: S
5.10,STATUS-03,Key Registered: S
5.20,STATUS-03,Key Registered: S
5.30,STATUS-03,Key Registered: S
5.40,STATUS-03,Key Registered: S
5.50,STATUS-03,Key Registered: S
5.60,STATUS-03,Key Registered: S
5.70,STATUS-03,Key Registered: A
5.80,STATUS-03,Key Registered: A
5.90,STATUS-03,Key Registered: A
6.00,STATUS-03,Key Registered: A
6.10,STATUS-03,Key Registered: A
6.20,STATUS-03,Key Registered: A
6.30,STATUS-03,Key Registered: A
6.40,STATUS-03,Key Registered: A
6.50,STATUS-03,Key Registered: A
6.60,STATUS-03,Key Registered: A
6.70,STATUS-03,Key Registered: A
6.80,STATUS-03,Key Registered: A
6.90,STATUS-03,Key Registered: A
7.00,STATUS-03,Key Registered: A
7.10,STATUS-03,Key Registered: A
7.20,STATUS-03,Key Registered: A
7.30,STATUS-03,Key Registered: A
7.40,STATUS-03,Key Registered: A
7.50,STATUS-03,Key Registered: A
7.60,STATUS-03,Key Registered: A
7.70,STATUS-03,Key Registered: A
7.80,STATUS-03,Key Registered: A
7.90,STATUS-03,Key Registered: A
8.00,STATUS-03,Key Registered: A
8.10,STATUS-03,Key Registered: A
8.20,STATUS-03,Key Registered: A
8.30,STATUS-03,Key Registered: A
8.40,STATUS-03,Key Registered: A
8.50,STATUS-03,Key Registered: A
8.60,STATUS-03,Key Registered: A
8.70,STATUS-03,Key Registered: A
8.80,STATUS-03,Key Registered: A
8.90,STATUS-03,Key Registered: A
9.00,STATUS-03,Key Registered: A
9.10,STATUS-03,Key Registered: A
9.20,STATUS-03,Key Registered: A
9.30,STATUS-03,Key Registered: A
9.40,STATUS-03,Key Registered: A
9.50,STATUS-03,Key Registered: A
9.60,STATUS-03,Key Registered: A
9.70,STATUS-03,Key Registered: A
9.80,STATUS-03,Key Registered: A
10.00,STATUS-03,Key Registered: W
10.10,STATUS-03,Key Registered: W
10.20,STATUS-03,Key Registered: W
10.30,STATUS-03,Key Registered: W
10.40,STATUS-03,Key Registered: W
10.50,STATUS-03,Key Registered: W
10.60,STATUS-03,Key Registered: W
10.70,STATUS-03,Key Registered: W
10.80,STATUS-03,Key Registered: W
10.90,STATUS-03,Key Registered: W
11.00,STATUS-03,Key Registered: W
11.10,STATUS-03,Key Registered: W
11.20,STATUS-03,Key Registered: W
11.30,STATUS-03,Key Registered: W
11.40,STATUS-03,Key Registered: W
11.50,STATUS-03,Key Registered: W
11.60,STATUS-03,Key Registered: W
11.70,STATUS-03,Key Registered: W
11.80,STATUS-03,Key Registered: W
11.90,STATUS-03,Key Registered: W
12.00,STATUS-03,Key Registered: W
12.10,STATUS-03,Key Registered: W
12.20,STATUS-03,Key Registered: W
12.30,STATUS-03,Key Registered: W
12.40,STATUS-03,Key Registered: W
12.50,STATUS-03,Key Registered: W
12.60,STATUS-03,Key Registered: W
12.70,STATUS-03,Key Registered: W
12.80,STATUS-03,Key Registered: W
12.90,STATUS-03,Key Registered: W
13.00,STATUS-03,Key Registered: W
13.10,STATUS-03,Key Registered: W
13.20,STATUS-03,Key Registered: W
13.30,STATUS-03,Key Registered: W
13.40,STATUS-03,Key Registered: W
13.50,STATUS-03,Key Registered: W
13.60,STATUS-03,Key Registered: W
13.70,STATUS-03,Key Registered: W
13.80,STATUS-03,Key Registered: W
13.90,STATUS-03,Key Registered: W
14.00,STATUS-03,Key Registered: W
14.10,STATUS-03,Key Registered: W
14.20,STATUS-03,Key Registered: W
14.30,STATUS-03,Key Registered: W
14.40,STATUS-03,Key Registered: Space
14.50,STATUS-03,Key Registered: Space
14.60,STATUS-03,Key Registered: Space
14.70,STATUS-03,Key Registered: Space
14.80,STATUS-03,Key Registered: Space
14.90,STATUS-03,Key Registered: Space
15.00,STATUS-03,Key Registered: Space
15.10,STATUS-03,Key Registered: Space
15.20,STATUS-03,Key Registered: Space
15.30,STATUS-03,Key Registered: Space
15.40,STATUS-03,Key Registered: Space
15.50,STATUS-03,Key Registered: Space
15.60,STATUS-03,Key Registered: Space
15.70,STATUS-03,Key Registered: Space
15.80,STATUS-03,Key Registered: Space
15.90,STATUS-03,Key Registered: Space
16.00,STATUS-03,Key Registered: Space
16.10,STATUS-03,Key Registered: Space
16.20,STATUS-03,Key Registered: Space
16.30,STATUS-03,Key Registered: Space
16.40,STATUS-03,Key Registered: Space
16.50,STATUS-03,Key Registered: Space
16.60,STATUS-03,Key Registered: Space
16.70,STATUS-03,Key Registered: Space
16.80,STATUS-03,Key Registered: Space
16.90,STATUS-03,Key Registered: Space
17.00,STATUS-03,Key Registered: Space
17.10,STATUS-03,Key Registered: Space
17.20,STATUS-03,Key Registered: Space
17.30,STATUS-03,Key Registered: Space
17.40,STATUS-03,Key Registered: Space
17.50,STATUS-03,Key Registered: Space
17.60,STATUS-03,Key Registered: Space
17.70,STATUS-03,Key Registered: Space
17.80,STATUS-03,Key Registered: Space
17.90,STATUS-03,Key Registered: Space
18.00,STATUS-03,Key Registered: Space
18.10,STATUS-03,Key Registered: Space
18.20,STATUS-03,Key Registered: Space
18.30,STATUS-03,Key Registered: Space
18.40,STATUS-03,Key Registered: Space
18.50,STATUS-03,Key Registered: Space
18.60,STATUS-03,Key Registered: Space
18.70,STATUS-03,Key Registered: Space
18.80,STATUS-03,Key Registered: Space
18.90,STATUS-03,Key Registered: Space
19.00,STATUS-03,Key Registered: Space
19.10,STATUS-03,Key Registered: Space
19.20,STATUS-03,Key Registered: Space
19.30,STATUS-03,Key Registered: Space
19.40,STATUS-03,Key Registered: Space
19.50,STATUS-03,Key Registered: Space
19.60,STATUS-03,Key Registered: Space
