Time(s),Mode,Type,Direction,Key
0.00,C,F,--,-
0.10,C,F,--,-
0.20,C,F,--,-
0.30,C,F,--,-
0.40,C,F,--,-
0.50,C,F,--,-
0.60,C,F,--,-
0.70,C,F,--,-
0.80,C,F,--,-
0.90,C,F,--,-
1.00,C,F,--,-
1.10,C,F,--,-
1.20,C,F,--,-
1.30,C,F,--,-
1.40,C,T,+X,W
1.40,C,T,+X,W
1.50,C,T,+X,W
1.60,C,F,--,-
1.70,C,F,--,-
1.80,C,F,--,-
1.90,C,F,--,-
2.00,C,F,--,-
2.10,C,T,+Y,A
2.10,C,T,+Y,A
2.20,C,T,+Y,A
2.30,C,F,--,-
2.40,C,T,-X,S
2.40,C,T,-X,S
2.50,C,T,-X,S
2.60,C,T,-Y,D
2.60,C,T,-Y,D
2.70,C,T,-Y,D
2.80,C,F,--,-
2.90,C,F,--,-
3.00,C,F,--,-
3.10,C,F,--,-
3.20,C,T,+X,W
3.20,C,T,+X,W
3.30,C,F,--,-
3.40,C,F,--,-
3.50,C,F,--,-
3.60,C,T,+Y,A
3.60,C,T,+Y,A
3.70,C,T,+Y,A
3.80,C,F,--,-
3.90,C,F,--,-
4.00,C,F,--,-
4.10,C,F,--,-
4.20,C,F,--,F
4.20,C,F,--,F
4.30,C,F,--,-
4.40,C,F,--,-
4.50,C,F,--,-
4.60,C,F,--,-
4.70,C,F,--,-
4.80,C,F,--,-
4.90,C,F,--,-
5.00,C,F,--,G
5.00,C,F,--,G
5.10,C,F,--,-
5.20,C,F,--,G
5.20,C,F,--,G
5.30,C,F,--,G
5.40,C,F,--,-
5.50,C,F,--,G
5.50,C,F,--,G
5.60,C,F,--,-
5.70,C,F,--,G
5.70,C,F,--,-
5.80,C,F,--,G
5.90,C,F,--,-
6.00,C,F,--,-
6.10,C,F,--,-
6.20,C,F,--,-
6.30,C,F,--,-
6.40,C,F,--,-
6.50,C,F,--,-
6.60,C,F,--,-
6.70,P,F,--,-
6.80,P,F,--,-
6.90,P,F,--,-
7.00,P,F,--,-
7.10,P,F,--,-
7.20,P,F,--,-
7.30,P,T,+X,W
7.30,P,F,--,-
7.40,P,F,--,-
7.50,P,T,+Y,A
7.50,P,F,--,-
7.60,P,T,-X,S
7.60,P,F,--,-
7.70,P,F,--,-
7.80,P,F,--,-
7.90,P,F,--,-
8.00,P,F,--,-
8.10,P,F,--,-
8.10,P,F,--,-
8.10,P,F,--,-
8.10,P,F,--,-
8.20,P,F,--,-
8.20,P,F,--,-
8.20,P,F,--,-
8.20,P,F,--,-
8.30,P,F,--,-
8.30,P,F,--,-
8.30,P,F,--,-
8.30,P,F,--,-
8.30,P,F,--,-
8.40,P,F,--,-
8.40,P,F,--,-
8.40,P,F,--,-
8.40,P,F,--,-
8.50,P,F,--,-
8.50,P,F,--,-
8.50,P,F,--,-
8.50,P,F,--,-
8.50,P,F,--,-
8.60,P,F,--,-
8.60,P,F,--,-
8.60,P,F,--,-
8.60,P,F,--,-
8.60,P,F,--,-
8.70,P,F,--,-
8.70,P,F,--,-
8.70,P,F,--,-
8.70,P,F,--,-
8.80,P,F,--,-
8.80,P,F,--,-
8.80,P,F,--,-
8.80,P,F,--,-
8.80,P,F,--,-
8.90,P,F,--,-
8.90,P,F,--,-
8.90,P,F,--,-
8.90,P,F,--,-
8.90,P,F,--,-
9.00,P,F,--,-
9.00,P,F,--,-
9.00,P,F,--,-
9.00,P,F,--,-
9.10,P,F,--,-
9.10,P,F,--,-
9.10,P,F,--,-
9.10,P,F,--,-
9.20,P,F,--,-
9.30,C,F,--,-
9.40,C,F,--,-
9.50,C,F,--,-
9.60,C,F,--,-
9.70,C,F,--,-
9.80,C,T,-Y,D
9.80,C,T,-Y,D
9.90,C,T,-Y,D
10.00,C,T,-Y,D
10.10,C,T,-Y,D
10.20,C,T,-Y,D
10.30,C,T,-Y,D
10.30,C,T,-Y,D
10.30,C,T,-Y,D
10.40,C,T,-Y,D
10.40,C,T,-Y,D
10.40,C,T,-Y,D
10.40,C,T,-Y,D
10.40,C,T,-Y,D
10.50,C,T,-Y,D
10.50,C,T,-Y,D
10.50,C,T,-Y,D
10.50,C,T,-Y,D
10.60,C,T,-Y,D
10.60,C,T,-Y,D
10.60,C,T,-Y,D
10.60,C,T,-Y,D
10.60,C,T,-Y,D
10.70,C,T,-Y,D
10.70,C,T,-Y,D
10.70,C,T,-Y,D
10.70,C,T,-Y,D
